period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2023-04-04,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,164672,megawatthours
2023-04-04,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,165286,megawatthours
2023-04-04,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,165651,megawatthours
2023-04-04,FPL,Florida Power & Light Co.,D,Demand,Arizona,Arizona,422174,megawatthours
2023-04-04,FPL,Florida Power & Light Co.,D,Demand,Central,Central,421431,megawatthours
2023-04-04,FPL,Florida Power & Light Co.,D,Demand,Eastern,Eastern,421290,megawatthours
2023-04-04,FPL,Florida Power & Light Co.,D,Demand,Mountain,Mountain,421806,megawatthours
2023-04-04,FPL,Florida Power & Light Co.,D,Demand,Pacific,Pacific,422174,megawatthours
2023-04-04,GCPD,"Public Utility District No. 2 of Grant County, Washington",D,Demand,Arizona,Arizona,16338,megawatthours
2023-04-04,GCPD,"Public Utility District No. 2 of Grant County, Washington",D,Demand,Central,Central,16326,megawatthours
2023-04-04,GCPD,"Public Utility District No. 2 of Grant County, Washington",D,Demand,Eastern,Eastern,16324,megawatthours
2023-04-04,GCPD,"Public Utility District No. 2 of Grant County, Washington",D,Demand,Mountain,Mountain,16330,megawatthours
2023-04-04,GCPD,"Public Utility District No. 2 of Grant County, Washington",D,Demand,Pacific,Pacific,16338,megawatthours
2023-04-04,GVL,Gainesville Regional Utilities,D,Demand,Arizona,Arizona,5811,megawatthours
2023-04-04,GVL,Gainesville Regional Utilities,D,Demand,Central,Central,5761,megawatthours
2023-04-04,GVL,Gainesville Regional Utilities,D,Demand,Eastern,Eastern,5732,megawatthours
2023-04-04,GVL,Gainesville Regional Utilities,D,Demand,Mountain,Mountain,5787,megawatthours
2023-04-04,GVL,Gainesville Regional Utilities,D,Demand,Pacific,Pacific,5811,megawatthours
2023-04-04,HST,City of Homestead,D,Demand,Arizona,Arizona,1801,megawatthours
2023-04-04,HST,City of Homestead,D,Demand,Central,Central,1793,megawatthours
2023-04-04,HST,City of Homestead,D,Demand,Eastern,Eastern,1789,megawatthours
2023-04-04,HST,City of Homestead,D,Demand,Mountain,Mountain,1797,megawatthours
2023-04-04,HST,City of Homestead,D,Demand,Pacific,Pacific,1801,megawatthours
2023-04-04,IID,Imperial Irrigation District,D,Demand,Arizona,Arizona,6856,megawatthours
2023-04-04,IID,Imperial Irrigation District,D,Demand,Central,Central,6843,megawatthours
2023-04-04,IID,Imperial Irrigation District,D,Demand,Eastern,Eastern,6835,megawatthours
2023-04-04,IID,Imperial Irrigation District,D,Demand,Mountain,Mountain,6847,megawatthours
2023-04-04,IID,Imperial Irrigation District,D,Demand,Pacific,Pacific,6856,megawatthours
2023-04-04,IPCO,Idaho Power Company,D,Demand,Arizona,Arizona,46588,megawatthours
2023-04-04,IPCO,Idaho Power Company,D,Demand,Central,Central,46628,megawatthours
2023-04-04,IPCO,Idaho Power Company,D,Demand,Eastern,Eastern,46667,megawatthours
2023-04-04,IPCO,Idaho Power Company,D,Demand,Mountain,Mountain,46603,megawatthours
2023-04-04,IPCO,Idaho Power Company,D,Demand,Pacific,Pacific,46588,megawatthours
2023-04-04,ISNE,ISO New England,D,Demand,Arizona,Arizona,265086,megawatthours
2023-04-04,ISNE,ISO New England,D,Demand,Central,Central,265568,megawatthours
2023-04-04,ISNE,ISO New England,D,Demand,Eastern,Eastern,266039,megawatthours
2023-04-04,ISNE,ISO New England,D,Demand,Mountain,Mountain,265343,megawatthours
2023-04-04,ISNE,ISO New England,D,Demand,Pacific,Pacific,265086,megawatthours
2023-04-04,JEA,JEA,D,Demand,Arizona,Arizona,36013,megawatthours
2023-04-04,JEA,JEA,D,Demand,Central,Central,35886,megawatthours
2023-04-04,JEA,JEA,D,Demand,Eastern,Eastern,35836,megawatthours
2023-04-04,JEA,JEA,D,Demand,Mountain,Mountain,35958,megawatthours
2023-04-04,JEA,JEA,D,Demand,Pacific,Pacific,36013,megawatthours
2023-04-04,LDWP,Los Angeles Department of Water and Power,D,Demand,Arizona,Arizona,61157,megawatthours
2023-04-04,LDWP,Los Angeles Department of Water and Power,D,Demand,Central,Central,61231,megawatthours
2023-04-04,LDWP,Los Angeles Department of Water and Power,D,Demand,Eastern,Eastern,61232,megawatthours
2023-04-04,LDWP,Los Angeles Department of Water and Power,D,Demand,Mountain,Mountain,61194,megawatthours
2023-04-04,LDWP,Los Angeles Department of Water and Power,D,Demand,Pacific,Pacific,61157,megawatthours
2023-04-04,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,D,Demand,Arizona,Arizona,90860,megawatthours
2023-04-04,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,D,Demand,Central,Central,90513,megawatthours
2023-04-04,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,D,Demand,Eastern,Eastern,90234,megawatthours
2023-04-04,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,D,Demand,Mountain,Mountain,90691,megawatthours
2023-04-04,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,D,Demand,Pacific,Pacific,90860,megawatthours
2023-04-04,MIDA,Mid-Atlantic,D,Demand,Arizona,Arizona,1925356,megawatthours
2023-04-04,MIDA,Mid-Atlantic,D,Demand,Central,Central,1926601,megawatthours
2023-04-04,MIDA,Mid-Atlantic,D,Demand,Eastern,Eastern,1926286,megawatthours
2023-04-04,MIDA,Mid-Atlantic,D,Demand,Mountain,Mountain,1926253,megawatthours
2023-04-04,MIDA,Mid-Atlantic,D,Demand,Pacific,Pacific,1925356,megawatthours
2023-04-04,MIDW,Midwest,D,Demand,Arizona,Arizona,1828757,megawatthours
2023-04-04,MIDW,Midwest,D,Demand,Central,Central,1823893,megawatthours
2023-04-04,MIDW,Midwest,D,Demand,Eastern,Eastern,1821744,megawatthours
2023-04-04,MIDW,Midwest,D,Demand,Mountain,Mountain,1826496,megawatthours
2023-04-04,MIDW,Midwest,D,Demand,Pacific,Pacific,1828757,megawatthours
2023-04-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Arizona,Arizona,1683022,megawatthours
2023-04-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1678497,megawatthours
2023-04-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Eastern,Eastern,1676672,megawatthours
2023-04-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Mountain,Mountain,1680911,megawatthours
2023-04-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Pacific,Pacific,1683022,megawatthours
2023-04-04,NE,New England,D,Demand,Arizona,Arizona,265086,megawatthours
2023-04-04,NE,New England,D,Demand,Central,Central,265568,megawatthours
2023-04-04,NE,New England,D,Demand,Eastern,Eastern,266039,megawatthours
2023-04-04,NE,New England,D,Demand,Mountain,Mountain,265343,megawatthours
2023-04-04,NE,New England,D,Demand,Pacific,Pacific,265086,megawatthours
2023-04-04,NEVP,Nevada Power Company,D,Demand,Arizona,Arizona,90634,megawatthours
2023-04-04,NEVP,Nevada Power Company,D,Demand,Central,Central,90686,megawatthours
2023-04-04,NEVP,Nevada Power Company,D,Demand,Eastern,Eastern,90717,megawatthours
2023-04-04,NEVP,Nevada Power Company,D,Demand,Mountain,Mountain,90655,megawatthours
2023-04-04,NEVP,Nevada Power Company,D,Demand,Pacific,Pacific,90634,megawatthours
2023-04-04,NW,Northwest,D,Demand,Arizona,Arizona,1006478,megawatthours
2023-04-04,NW,Northwest,D,Demand,Central,Central,1005637,megawatthours
2023-04-04,NW,Northwest,D,Demand,Eastern,Eastern,1005529,megawatthours
2023-04-04,NW,Northwest,D,Demand,Mountain,Mountain,1005993,megawatthours
2023-04-04,NW,Northwest,D,Demand,Pacific,Pacific,1006478,megawatthours
2023-04-04,NWMT,NorthWestern Corporation,D,Demand,Arizona,Arizona,34462,megawatthours
2023-04-04,NWMT,NorthWestern Corporation,D,Demand,Central,Central,34421,megawatthours
2023-04-04,NWMT,NorthWestern Corporation,D,Demand,Eastern,Eastern,34389,megawatthours
2023-04-04,NWMT,NorthWestern Corporation,D,Demand,Mountain,Mountain,34442,megawatthours
2023-04-04,NWMT,NorthWestern Corporation,D,Demand,Pacific,Pacific,34462,megawatthours
2023-04-04,NY,New York,D,Demand,Arizona,Arizona,357932,megawatthours
2023-04-04,NY,New York,D,Demand,Central,Central,358279,megawatthours
2023-04-04,NY,New York,D,Demand,Eastern,Eastern,358409,megawatthours
2023-04-04,NY,New York,D,Demand,Mountain,Mountain,358128,megawatthours
